"ensembl_tr_id","GSM4223714","GSM4223715","GSM4223716","GSM4223717","GSM4223718","GSM4223719","GSM4223720","GSM4223721","GSM4223722","GSM4223723","GSM4223724","GSM4223725"
"ENSMUST00000078323",147.896,101.408,126.867,106.451,65.506,47,70.463,49,48.147,53,53,72.765
"ENSMUST00000198346",168,221,241,305,154,145,229,233,116.783,128,198,180
"ENSMUST00000153238",61.48,55.584,73.681,52.529,9.956,21.862,47.829,34.506,37.769,28.957,56.013,68.336
"ENSMUST00000123669",308.624,320.447,327.319,391.471,140.537,156.137,204.708,249.494,133.298,170.04,270.986,230.898
"ENSMUST00000140620",16.025,0,0,0,0,0,0,0,5.316,0,12.958,7.585
"ENSMUST00000112563",197.849,130.744,200.755,164.343,45.611,52.214,104.459,53.287,39.261,54.007,71.952,83.189
"ENSMUST00000119212",88.378,113.898,71.251,161.375,21.434,21.245,76.541,97.713,52.423,20.993,49.142,46.065
"ENSMUST00000051757",18,18,11,12,40,52,34,37,62.771,52.885,30,52
"ENSMUST00000112560",934.788,839,689.033,710,399,405,604,657,259,244,432,399
"ENSMUST00000013633",4.212,0,13.967,0,0,0,0,0,0,0,0,0
"ENSMUST00000194341",5.834,0,3.961,0,8.26,2.757,4.598,9.226,2.305,1,1.122,1.29
"ENSMUST00000200284",112.235,99.43,106.821,62.388,41.645,41.15,57.68,67.477,65.697,30.524,34.182,44.732
"ENSMUST00000044579",113.765,66.57,55.179,115.612,57.355,72.85,84.32,63.914,74.303,69.476,76.818,80.268
"ENSMUST00000092720",54.749,35.096,67.502,43.429,18.41,21.778,38.268,23.26,8.817,16.937,16.433,20.267
"ENSMUST00000196262",72.459,61.747,102.757,63.768,45.372,48.222,75.687,83.249,76.02,92.749,43,46.224
"ENSMUST00000112544",46.927,14.834,43.279,29.433,20.485,16.379,21.156,9.223,15.015,10.457,24.928,18.239
"ENSMUST00000146564",4,6,6,7,4,6,11,8,4,1,13,5
"ENSMUST00000181488",3,0,8,0,3,0,2,1,0,3,2,1
"ENSMUST00000112540",137.805,73.532,144.773,76.299,31.08,31.193,40.844,48.513,29.135,27.095,31.525,30.377
